2025-10-19 16:58:19,881 | INFO | __main__ | Starting backtest via CLI
2025-10-19 17:23:55,070 | INFO | logos.tutor.engine | Step 13: BUY entry at 430.53 on 2024-12-27 because z = -1.40 → reversion opportunity.
2025-10-19 17:23:55,087 | INFO | logos.tutor.engine | Step 14: Sharpe undefined for this mini-sample — returns lacked enough variation.
2025-10-19 17:23:55,087 | INFO | logos.tutor.engine | Step 15: Max Drawdown undefined here — equity never recovered above its starting high.
2025-10-19 17:23:55,087 | INFO | logos.tutor.engine | Transcript archived at runs/lessons/mean_reversion_20251019-212355.txt
2025-10-19 17:23:55,088 | INFO | logos.tutor.engine | Saved tutor transcript -> runs/lessons/mean_reversion_20251019-212355.txt
2025-10-19 17:28:10,782 | INFO | logos.tutor.engine | [Lesson: Momentum] Tracking trend-following crossovers on BTC-USD.
2025-10-19 17:28:10,799 | INFO | logos.data_loader | Downloading BTC-USD [1d] from Yahoo Finance
2025-10-19 17:28:11,758 | INFO | logos.tutor.engine | Step 1: Fast SMA(5) = 93786.29; Slow SMA(15) = 96743.14 → crossover check.
2025-10-19 17:28:11,758 | INFO | logos.tutor.engine | Step 2: Last Close 93429.20 sits below slow SMA → trend signal.
2025-10-19 17:28:11,760 | INFO | logos.tutor.engine | Step 3: LONG on 2024-11-16 because SMA(5) > SMA(15). Price=90558.48.
2025-10-19 17:28:11,761 | INFO | logos.tutor.engine | Step 4: SHORT on 2024-12-21 because SMA(5) < SMA(15). Price=97224.73.
2025-10-19 17:28:11,772 | INFO | logos.tutor.engine | Step 5: Sharpe = 0.00. Trend systems aim for Sharpe > 1 after costs.
2025-10-19 17:28:11,773 | INFO | logos.tutor.engine | Step 6: Max Drawdown undefined because equity never set a new high in this window.
2025-10-19 17:28:11,773 | INFO | logos.tutor.engine | Transcript archived at runs/lessons/momentum_20251019-212811.txt
2025-10-19 17:28:11,774 | INFO | logos.tutor.engine | Saved tutor transcript -> runs/lessons/momentum_20251019-212811.txt
2025-10-19 17:29:02,305 | INFO | logos.tutor.engine | [Lesson: Pairs Trading] Comparing MSFT vs AAPL to trade their spread.
2025-10-19 17:29:02,315 | INFO | logos.data_loader | Downloading MSFT [1d] from Yahoo Finance
2025-10-19 17:29:03,242 | INFO | logos.data_loader | Downloading AAPL [1d] from Yahoo Finance
2025-10-19 17:29:03,848 | INFO | logos.tutor.engine | Step 1: 30-day return correlation = 0.55. High correlation suggests spread mean reversion.
2025-10-19 17:29:03,867 | INFO | logos.tutor.engine | Step 2: Hedge ratio β ≈ 0.87; spread = MSFT - β·AAPL.
2025-10-19 17:29:03,867 | INFO | logos.tutor.engine | Step 3: 20-day spread mean = 221.91; σ = 10.13.
2025-10-19 17:29:03,869 | INFO | logos.tutor.engine | Step 4: SHORT MSFT / LONG AAPL on 2024-11-06 because spread z = 1.17.
2025-10-19 17:29:03,869 | INFO | logos.tutor.engine | Step 5: LONG MSFT / SHORT AAPL on 2024-11-18 because spread z = -1.05.
2025-10-19 17:29:03,870 | INFO | logos.tutor.engine | Step 6: SHORT MSFT / LONG AAPL on 2024-12-05 because spread z = 1.83.
2025-10-19 17:29:03,870 | INFO | logos.tutor.engine | Step 7: LONG MSFT / SHORT AAPL on 2024-12-20 because spread z = -1.51.
2025-10-19 17:29:03,884 | INFO | logos.tutor.engine | Step 8: Sharpe undefined — leg A saw little realized PnL in this snippet.
2025-10-19 17:29:03,884 | INFO | logos.tutor.engine | Step 9: Max Drawdown undefined because equity stayed near zero PnL in this lesson slice.
2025-10-19 17:29:03,885 | INFO | logos.tutor.engine | Transcript archived at runs/lessons/pairs_trading_20251019-212903.txt
2025-10-19 17:29:03,885 | INFO | logos.tutor.engine | Saved tutor transcript -> runs/lessons/pairs_trading_20251019-212903.txt
2025-10-19 17:33:15,796 | INFO | logos.tutor.engine | [Lesson: Mean Reversion] Using MSFT daily bars to illustrate z-score fades.
2025-10-19 17:33:15,807 | INFO | logos.data_loader | Downloading MSFT [1d] from Yahoo Finance
2025-10-19 17:33:16,734 | INFO | logos.tutor.engine | Step 1: 10-day SMA = mean(421.50…454.46) = 435.50
2025-10-19 17:33:16,734 | INFO | logos.tutor.engine | Step 2: σ (population std) = 8.50; latest Close = 421.50
2025-10-19 17:33:16,735 | INFO | logos.tutor.engine | Step 3: z = (Price - SMA) / σ = (421.50 - 435.50) / 8.50 = -1.65
2025-10-19 17:33:16,740 | INFO | logos.tutor.engine | Step 4: BUY entry at 415.49 on 2024-11-20 because z = -1.16 → reversion opportunity.
2025-10-19 17:33:16,740 | INFO | logos.tutor.engine | Step 5: EXIT flat at 417.00 on 2024-11-22 because z = -0.38 → mean hit.
2025-10-19 17:33:16,741 | INFO | logos.tutor.engine | Step 6: SELL entry at 427.99 on 2024-11-26 because z = 1.70 → reversion opportunity.
2025-10-19 17:33:16,741 | INFO | logos.tutor.engine | Step 7: EXIT flat at 422.99 on 2024-11-27 because z = 0.80 → mean hit.
2025-10-19 17:33:16,742 | INFO | logos.tutor.engine | Step 8: SELL entry at 423.46 on 2024-11-29 because z = 1.07 → reversion opportunity.
2025-10-19 17:33:16,742 | INFO | logos.tutor.engine | Step 9: EXIT flat at 447.27 on 2024-12-13 because z = 0.80 → mean hit.
2025-10-19 17:33:16,743 | INFO | logos.tutor.engine | Step 10: SELL entry at 451.59 on 2024-12-16 because z = 1.28 → reversion opportunity.
2025-10-19 17:33:16,743 | INFO | logos.tutor.engine | Step 11: BUY entry at 437.39 on 2024-12-18 because z = -1.93 → reversion opportunity.
2025-10-19 17:33:16,744 | INFO | logos.tutor.engine | Step 12: EXIT flat at 439.33 on 2024-12-24 because z = -0.64 → mean hit.
2025-10-19 17:33:16,744 | INFO | logos.tutor.engine | Step 13: BUY entry at 430.53 on 2024-12-27 because z = -1.40 → reversion opportunity.
2025-10-19 17:33:16,766 | INFO | logos.tutor.engine | Step 14: Sharpe undefined for this mini-sample — returns lacked enough variation.
2025-10-19 17:33:16,766 | INFO | logos.tutor.engine | Step 15: Max Drawdown undefined here — equity never recovered above its starting high.
2025-10-19 17:33:17,565 | INFO | logos.tutor.engine | Transcript archived at runs/lessons/mean_reversion_20251019-213317.txt
2025-10-19 17:33:17,566 | INFO | logos.tutor.engine | Saved tutor transcript -> runs/lessons/mean_reversion_20251019-213317.txt
